stt,name,name (english),type,address,license no,issue date,phone,fax,website,email
598,CÔNG TY TNHH THƯƠNG MẠI & DU LỊCH KHO BÁU ĐÔNG DƯƠNG,INDOCHINA TREASURES TRAVEL & TRADING COMPANY LIMITED,International Travel,"SỐ 6, TỔ 45 ĐƯỜNG GA ĐÔNG ANH,",01-1147/2021/TCDL-GP LHQT,15/07/2021,+84 919 170 277,,,admin@inttravelco.com
599,CÔNG TY TNHH DU LỊCH PASSION ASIA,PASSION ASIA TRAVEL COMPANY LIMITED,International Travel,SỐ 53A LÊ VĂN HƯU,01-1652/2021/TCDL-GP LHQT,16/10/2024,2435429888,,www.passionasiatravel.com,info@passionasiatravel.com
600,CÔNG TY TNHH DU LỊCH HASIA,HASIA TRAVEL COMPANY LIMITED,International Travel,"TẦNG 14 TÒA NHÀ ZEN TOWER, SỐ 12 ĐƯỜNG KHUẤT DUY TIẾN",01-1149/2018/TCDL-GP LHQT,16/11/2024,+84 247 108 9868,,,hasiatravel@gmail.com
601,CÔNG TY TNHH THƯƠNG MẠI IMMANUEL,IMMANUEL TRADING COMPANY LIMITED,International Travel,"VP307,Tầng 3, DREAMLAND BONANZA, 23 PHỐ DUY TÂN",01-1154/2021/TCDL-GP LHQT,22/01/2024,2422472268,,,Travel@immanuel.vn
602,CÔNG TY TNHH DU LỊCH VÂN HẢI XANH HÀ NỘI,VAN HAI XANH HA NOI TRAVEL COMPANY LIMITED,International Travel,"SỐ 9A NGÁCH 33 NGÕ 121, ĐƯỜNG AN DƯƠNG VƯƠNG",01-1152/2018/TCDL-GP LHQT,24/07/2023,4371730889,,,vanhaixanhdl@gmail.com
603,CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ DU LỊCH LA VIE TOUR VIỆT NAM,LA VIE TOUR VIET NAM TRADING & SERVICES TRAVEL COMPANY LIMITED,International Travel,"LÔ SỐ 9, NGÃ 4, CỤM CÔNG NGHIỆP QUẤT ĐỘNG",01-1157/2021/CDLQGVN-GP LHQT,22/05/2025,825966988,,www.lavietour.vn,info@lavietour.vn
604,CÔNG TY TNHH DỊCH VỤ DU LỊCH CARNETS D'ASIE,CARNETS D'ASIE TRAVEL SERVICES COMPANY LIMITED,International Travel,"SỐ 18A NGÔ TẤT TỐ, PHƯỜNG VĂN MIẾU, QUẬN ĐỐNG ĐA, THÀNH PHỐ HÀ NỘI",01-1158/2018/TCDL-GP LHQT,18/10/2018,+84 243 732 2288,,www.carnetsdasie.com,info@carnetsdasie.com
606,CÔNG TY TNHH PHONG CÁCH SỐ,DIGITAL STYLE COMPANY LIMITED,International Travel,"SỐ 5, NGÕ 164, PHỐ NGUYỄN NGỌC NẠI, PHƯỜNG KHƯƠNG MAI, QUẬN THANH XUÂN, THÀNH PHỐ HÀ NỘI",01-1163/2018/TCDL-GP LHQT,23/10/2018,+84 242 219 3868,,www.booktour247.com,linhchi2209@gmail.com
607,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH VÀ TRUYỀN THÔNG KHÁNH MINH,KHANH MINH MEDIA AND TRADING TRAVEL COMPANY LIMITED,International Travel,"SỐ 27 ĐƯỜNG THÀNH, PHƯỜNG CỬA ĐÔNG, QUẬN HOÀN KIẾM, THÀNH PHỐ HÀ NỘI",01-1164/2018/TCDL-GP LHQT,24/10/2018,+84 982 034 899,,,dobac.moontravel@gmail.com
608,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH THE TIME JOURNEYS,THE TIME JOURNEYS TRADE AND TRAVEL COMPANY LIMITED,International Travel,"SỐ 701 HỒNG HÀ, PHƯỜNG CHƯƠNG DƯƠNG, QUẬN HOÀN KIẾM, THÀNH PHỐ HÀ NỘI",01-1165/2018/TCDL-GP LHQT,24/10/2018,+84 243 266 8326,+84 243 266 8326,www.thetimejourneys.com,info@thetimejourneys.com
609,CÔNG TY TNHH DU LỊCH CHÂN TRỜI PHƯƠNG ĐÔNG,ORIENT SKYLINE TRAVEL COMPANY LIMITED,International Travel,"NHÀ SỐ 12, NGÁCH 1, NGÕ 199 ĐƯỜNG TRẦN QUỐC HOÀN, P. DỊCH VỌNG HẬU, Q. CẦU GIẤY, TP. HÀ NỘI, VIỆT NAM",01-1166/2019/TCDL-GP LHQT,24/10/2018,+84 944 736 638,,,orientskylinetravel@gmail.com
610,CÔNG TY CỔ PHẦN THƯƠNG MẠI & DU LỊCH VIETBLUETOUR,VIETBLUETOUR COMMERCIAL & TRAVEL JOINT STOCK COMPANY,International Travel,"SỐ 13A, NGÁCH 55/24 HOÀNG HOA THÁM, PHƯỜNG NGỌC HÀ, QUẬN BA ĐÌNH, THÀNH PHỐ HÀ NỘI",01-1169/2018/TCDL-GP LHQT,29/10/2018,+84 969 691 889,,,ceo@vietbluetour.com
611,CÔNG TY TNHH PHÚC ĐẠI VIỆT,PHUC DAI VIET COMPANY LIMITED,International Travel,"TẦNG 2, BT 16A-3, Ô SỐ 14 LÀNG VIỆT KIỀU CHÂU ÂU, KĐT MỖ LAO, PHƯỜNG MỘ LAO, QUẬN HÀ ĐÔNG, THÀNH PHỐ HÀ NỘI",01-1171/2018/TCDL-GP LHQT,30/10/2018,35578079,,,operator@vietnamresponsibletourism.com
612,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ DU LỊCH QUỐC TẾ AVE TOÀN CẦU,GLOBAL AVE INTERNATIONAL TRAVEL AND MEDIA JOINT STOCK COMPANY,International Travel,"TẦNG 4, TÒA T1, TIMES TOWER, 35 LÊ VĂN LƯƠNG, PHƯỜNG NHÂN CHÍNH, QUẬN THANH XUÂN, THÀNH PHỐ HÀ NỘI",01-1172/2018/TCDL-GP LHQT,31/10/2018,+84 246 657 5428,,,Avetourist@gmail.com
613,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH ANH HÙNG CHÂU Á,ASIA HERO TRADE AND TRAVEL COMPANY LIMITED,International Travel,"Tầng 2, LK6 – TT2, 96B Nguyễn Huy Tưởng",01-1173/2018/CDLQGVN-GP LHQT,01/04/2025,975515881,,,info@asiaherotravel.com
614,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN DU LỊCH BỀN VỮNG VIỆT NAM,VIET NAM SUSTAINABLE TOURISM INVESTMENT AND DEVELOPMENT JOINT STOCK COMPANY,International Travel,"SỐ 61 NGÔ THÌ NHẬM, PHƯỜNG PHẠM ĐÌNH HỔ,",01-1178/2022/TCDL-GP LHQT,03/08/2022,902115698,,dulichhaima.com,dulichhaima@gmail.com
616,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH HAT,HAT TRADING AND TRAVEL COMPANY LIMITED,International Travel,"SỐ 44 TRẦN QUÝ KIÊN, TỔ 14, PHƯỜNG DỊCH VỌNG, QUẬN CẦU GIẤY, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1187/2018/TCDL-GP LHQT,12/12/2018,0246296 4629,,,info@hatvacation.com
617,CÔNG TY TNHH NAM HƯƠNG TRAVEL,NAM HUONG TRAVEL LIMITED COMPANY,International Travel,"XÓM THẾ HIỂN, THÔN CANH HOẠCH, XÃ DÂN HÒA, HUYỆN THANH OAI, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1188/2018/TCDL-GP LHQT,20/11/2018,098 7699712,,www.namtravel.com.vn,info@namtravel.com.vn
618,CÔNG TY TNHH HOMIYOON VINA,HOMIYOON VINA COMPANY LIMITED,International Travel,"SỐ 18 LÊ THÁI TỔ, PHƯỜNG VÕ CƯỜNG, THÀNH PHỐ BẮC NINH, TỈNH BẮC NINH, VIỆT NAM",27-005_/2018/TCDL-GP LHQT,20/11/2018,0222 651 3456,,homiyoon.com,homiyoon.edu@gmail.com
619,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CÁNH DIỀU,KITE TRADING AND SERVICES COMPANY LIMITED,International Travel,"SỐ 30, NGÕ 39, TỔ 7 ĐA SỸ, PHƯỜNG KIẾN HƯNG, QUẬN HÀ ĐÔNG, THÀNH PHỐ HÀ NỘI",01-1190/2018/TCDL-GP LHQT,21/11/2018,+84 243 991 0191,,www.dulichcanhdieu.com.vn,info@dulichcanhdieu.com.vn
620,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH STRONG,STRONG TRAVEL AND TRADE COMPANY LIMITED,International Travel,"SỐ 30 NGÕ 140 ĐƯỜNG NGUYỄN XIỂN, PHƯỜNG HẠ ĐÌNH, QUẬN THANH XUÂN, THÀNH PHỐ HÀ NỘI",01-1191/2021/TCDL-GP LHQT,14/12/2021,,,www.strongtravel.vn,strongtravel.co@gmail.com
621,CÔNG TY CỔ PHẦN ĐÀO TẠO VÀ XUẤT NHẬP KHẨU THƯƠNG MẠI DU LỊCH QUỐC TẾ,INTERNATIONAL TOURIS TRADING IMPORT EXPORT AND EDUCATION JOINT STOCK COMPANY,International Travel,SỐ 170 TRẦN DUY HƯNG,01-1192/2020/TCDL-GP LHQT,22/11/2018,913536289,,,quoctetourism.vn@gmail.com
622,CÔNG TY TNHH LIÊN DOANH DU LỊCH HỒ GƯƠM-DTH,HO GUOM DTH TRAVEL JOINT VENTURE COMPANY LIMITED,International Travel,"SỐ 24, NGÕ 55 LÊ ĐẠI HÀNH",01-1196/2020/TCDL-GP LHQT,16/01/2024,0243 9344844,,dth.travel/destination/vietnam/,info@vn.dth.travel
623,CÔNG TY TNHH DU LỊCH VIỆT NAM VIỄN DU,VIET NAM VIEN DU TRAVEL COMPANY LIMITED,International Travel,"Tầng 1, số nhà 36, ngõ 542, đường Xuân Đỉnh",01-1198/2018/CDLQGVN-GP LHQT,08/04/2025,0977 510 025,,vietnamviendu.com,hotro@vietnamviendu.com
624,CÔNG TY CỔ PHẦN ASAHI TRAVEL VIỆT NAM,ASAHI TRAVEL VIET NAM JOINT STOCK COMPANY,International Travel,"SỐ NHÀ 2F, NGÁCH 141/9, ĐƯỜNG NAM DƯ, PHƯỜNG LĨNH NAM, QUẬN HOÀNG MAI, THÀNH PHỐ HÀ NỘI",01-1203/2018/TCDL-GP LHQT,29/11/2018,,,asahitravelvietnam.com,asahitravelvietnam@gmail.com
625,CÔNG TY TNHH DU LỊCH VÀ DỊCH VỤ TOUR THE WORLD,TOUR THE WORLD TOURISM AND SERVICES COMPANY LIMITED,International Travel,"SỐ 52 VÕ VĂN DŨNG, PHƯỜNG Ô CHỢ DỪA, QUẬN ĐỐNG ĐA, THÀNH PHỐ HÀ NỘI",01-1195/2018/TCDL-GP LHQT,29/11/2018,0243 686 9988,,www.tourtheworld.vn,info@tourtheworld.vn
626,CÔNG TY CỔ PHẦN TẬP ĐOÀN NGÔI SAO MỚI,NEWSTAR GROUP JOINT STOCK COMPANY,International Travel,"TẬP THỂ CÔNG TY XUẤT NHẬP KHẨU RAU QUẢ, NGÕ 620, ĐƯỜNG BẠCH ĐẰNG, PHƯỜNG BẠCH ĐẰNG, QUẬN HAI BÀ TRƯNG, THÀNH PHỐ HÀ NỘI",01-642_/2018/TCDL-GP LHQT,09/05/2016,024.3717.1690,,www.newstartour.com,sales@newstartour.com
627,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ DU LỊCH BÁCH MINH THÁI,BACH MINH THAI TRADING AND TRAVEL SERVICES JOINT STOCK COMPANY,International Travel,"TẦNG 1, TÒA NHÀ TỔNG CÔNG TY CAO SU VIỆT NAM, 56 NGUYỄN DU, PHƯỜNG NGUYỄN DU, QUẬN HAI BÀ TRƯNG, THÀNH PHỐ HÀ NỘI",01-1206/2018/TCDL-GP LHQT,09/11/2018,24.39412199,24.39412198,www.airlinktravel.com.vn,booking@airlinktravel.com.vn
628,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH C.K.C,C.K.C TOURISM AND TRADING COMPANY LIMITED,International Travel,"TẦNG 3, SỐ 24, HẺM 531/16/31, ĐƯỜNG BÁT KHỐI, PHƯỜNG THẠCH BÀN, QUẬN LONG BIÊN, THÀNH PHỐ HÀ NỘI",01-1211/2018/TCDL-GP LHQT,14/12/2018,0243 926 2743,,www.freewheelin-tours.com,compagniebourlingue@gmail.com
629,CÔNG TY TNHH THẦN TIÊN VIỆT NAM,VIET NAM FAIRY COMPANY LIMITED,International Travel,"SỐ 167, ĐƯỜNG ĐÌNH THÔN, PHƯỜNG MỸ ĐÌNH 1, QUẬN NAM TỪ LIÊM, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1212/2018/TCDL-GP LHQT,14/12/2018,08 888 22 750,,Tour-umbala.com,tourumbala@gmail.com
630,CÔNG TY TNHH MUNDO ASIA,MUNDO ASIA COMPANY LIMITED,International Travel,"SỐ 10, NGÕ 450 BẠCH ĐẰNG",01-1222/2018/TCDL-GP LHQT,08/08/2024,(+84) 24323236689,,www.mundoasiatours.com,info@mundoasiatours.com
631,CÔNG TY CỔ PHẦN DU LỊCH QUỐC TẾ ICO,ICO INTERNATIONAL TRAVEL JOINT STOCK COMPANY,International Travel,"SỐ 34 TRẦN QUỐC HOÀN, P. DỊCH VỌNG HẬU, Q. CẦU GIẤY, TP. HÀ NỘI, VIỆT NAM",01-981_/2019/TCDL-GP LHQT,04/12/2017,024 6666 5866,,icotravel.vn,info@icotravel.vn
632,CÔNG TY TNHH DU LỊCH A21,A21 TRAVEL COMPANY LIMITED,International Travel,"PHÒNG 311, TÒA NHÀ 142 LÊ DUẨN, P. KHÂM THIÊN, Q. ĐỐNG ĐA, TP. HÀ NỘI, VIỆT NAM",01-1229/2019/TCDL-GP LHQT,04/01/2019,0246 260 0213,,www.a21tours.com,info@a21tours.com
633,CÔNG TY CỔ PHẦN THƯƠNG MẠI TỔ CHỨC HỘI THẢO VÀ DU LỊCH VIC VIỆT NAM,VIC VIET NAM TOURISM CONFERENCE ORGANIZATION AND TRADING JOINT STOCK COMPANY,International Travel,"SỐ 2B, NGÁCH 204/7, NGÕ 204 KIM GIANG, P. ĐẠI KIM, Q. HOÀNG MAI, TP. HÀ NỘI, VIỆT NAM",01-1230/2019/TCDL-GP LHQT,07/01/2019,0243 938 7836,,,info@victravel.vn
634,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH FAST TRAVEL,FAST TRAVEL TOURIST AND SERVICE TRADING JOINT STOCK COMPANY,International Travel,"SỐ NHÀ 42, NGÕ 1 ĐƯỜNG LÊ HỒNG PHONG, P. NGUYỄN TRÃI, Q. HÀ ĐÔNG, TP. HÀ NỘI, VIỆT NAM",01-1234/2019/TCDL-GP LHQT,09/01/2019,0982 979 852,,,minhthanhcompany2015@gmail.com
635,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ THỦ ĐÔ,CAPITAL INVESTMENT COMMERCE AND SERVICES JOINT STOCK COMPANY,International Travel,"SỐ 6, NGÁCH 6/6, PHỐ ĐỘI NHÂN, P. VĨNH PHÚC, Q. BA ĐÌNH, TP. HÀ NỘI, VIỆT NAM",01-1236/2019/TCDL-GP LHQT,09/01/2019,1900 96 96 79,,http://thudojsc.vn,info@thudojsc.vn
636,CÔNG TY TNHH Y&H GLOBAL HOLDINGS,Y&H GLOBAL HOLDINGS COMPANY LIMITED,International Travel,"LÔ A12-LK1, Ô SỐ 29, KHU ĐTM HAI BÊN ĐƯỜNG LÊ TRỌNG TẤN, XÃ AN KHÁNH, H. HOÀI ĐỨC, TP. HÀ NỘI, VIỆT NAM",01-1241/2019/TCDL-GP LHQT,23/01/2019,096 433 9557,,,yhglobal2017@gmail.com
637,CÔNG TY TNHH DV TM VÀ DU LỊCH ANH DŨNG,ANH DUNG DV TM AND TRAVEL COMPANY LIMITED,International Travel,"TẦNG 2, SỐ 49, PHỐ NGUYỄN KHẢ TRẠC",01-1243/2020/TCDL-GP LHQT,06/10/2020,332147156,,,anhdung@gmail.com
639,CÔNG TY TNHH DU LỊCH BẦU TRỜI VIỆT NAM,SKY VIET NAM TRAVEL COMPANY LIMITED,International Travel,"SỐ 52 PHỐ HÀNG BÈ, P. HÀNG BẠC, Q. HOÀN KIẾM, TP. HÀ NỘI, VIỆT NAM",01-1247/2019/TCDL-GP LHQT,21/01/2019,0916 479 464,,skyvietnamtravel.com,info@skyvietnamtravel.com
640,CÔNG TY CỔ PHẦN CHỊ EM VIỆT NAM,VIETNAM SISTERS JOINT STOCK COMPANY,International Travel,"SỐ 50, NGÁCH 35, NGÕ 97, PHỐ VĂN CAO, PHƯỜNG LIỄU GIAI, QUẬN BA ĐÌNH, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1250/2019/TCDL-GP LHQT,28/01/2019,375000345,,vivunhe.vn,dulichchiem@gmail.com
641,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH VÀ KHÁCH SẠN VIỆT NAM THUẬN Ý,,International Travel,"SỐ 35, NGÕ 191 ĐƯỜNG THẠCH BÀN, PHƯỜNG THẠCH BÀN, QUẬN LONG BIÊN, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1251/2019/TCDL-GP LHQT,28/01/2019,2466871948,,asiapearltravel.com,guidevietnamn01@gmail.com
642,CÔNG TY CỔ PHẦN ĐẦU TƯ HUỆ TUÂN,HUE TUAN INVESTMENT JOINT STOCK COMPANY,International Travel,"SỐ 21 LÊ ĐỨC THỌ, P. MỸ ĐÌNH 2, Q. NAM TỪ LIÊM, TP. HÀ NỘI, VIỆT NAM",01-1259/2019/TCDL-GP LHQT,01/02/2019,0908 410 666,,,kokomashimaro@gmail.com
643,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ DU LỊCH 123,123 TRAVEL TRADE SERVICES JOINT STOCK COMPANY,International Travel,"P403 TÒA NHÀ OCEAN PARK, SỐ 1 ĐÀO DUY ANH",01-1260/2019/TCDL-GP LHQT,25/04/2024,024 7302 7373,,123travel.asia,info@123travel.asia
644,CÔNG TY CỔ PHẦN CREATE JOURNEYS VIỆT NAM,VIET NAM CREATE JOURNEYS JOINT STOCK COMPANY,International Travel,"SỐ 9D NGÕ 239 PHỐ BỒ ĐỀ, P. BỒ ĐỀ, Q. LONG BIÊN, TP. HÀ NỘI, VIỆT NAM",01-1261/2019/TCDL-GP LHQT,01/02/2019,0866 828 335,,,amyphuong234@gmail.com
645,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH VÀ DỊCH VỤ HÀNG KHÔNG MINH QUÂN,MINH QUAN AVIATION SERVICE AND TOURISM COMMERCIAL COMPANY LIMITED,International Travel,"TỔ 10, P. THẠCH BÀN, Q. LONG BIÊN, TP. HÀ NỘI, VIỆT NAM",01-1264/2019/TCDL-GP LHQT,22/02/2019,024 3715 1860,024 3715 1861,Dulichminhquan.vn,minhquan2003.ltd@gmail.com
646,CÔNG TY CỔ PHẦN MẶT TRỜI VIỆT NAM,THE SUN VIET NAM JOINT STOCK COMPANY,International Travel,"Số 11, ngõ 7, phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",01-559/2014/TCDL-GP LHQT,31/12/2014,84.43773167,84.4.3.774.1777,www.sunvinatravel.com,info@sunvinatravel.com
647,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ DU LỊCH ĐẠI DƯƠNG,DAI DUONG TRADING AND TOURIST SERVICES JOINT STOCK COMPANY,International Travel,"Số 74 đường Khúc Thừa Dụ, Phường Cầu Giấy, Thành phố Hà Nội",01-1262/2019/CDLQGVN-GP LHQT,08/08/2025,02473066999/ 0915551789,024 730.66.686,htp://dulichdaiduong.vn,info@oceanservice.com.vn
649,CÔNG TY TNHH DU LỊCH QUỐC TẾ KIM LIÊN,KIM LIEN INTERNATIONAL TOURIST LIMITED COMPANY,International Travel,134 TRUNG KÍNH,01-1265/2019/TCDL-GP LHQT,09/10/2024,084 966 8890,,https://vuiladi.com,dulichquoctekimlien@gmail.com
650,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ LPH TRAVEL,LPH TRAVEL TRADING SERVICES JOINT STOCK COMPANY,International Travel,"SỐ 58 NGUYỄN HUY TƯỞNG, PHƯỜNG THANH XUÂN TRUNG, QUẬN THANH XUÂN, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1267/2019/TCDL-GP LHQT,12/03/2019,978254592,,,info@lphtravel.vn
651,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DU LỊCH MỞ HÀ NỘI,HANOI OPEN TOURISM TRADE AND INVESTMENT JOINT STOCK COMPANY,International Travel,"SỐ 18B/165 ĐƯỜNG CẦU GIẤY, P. DỊCH VỌNG, Q. CẦU GIẤY, TP. HÀ NỘI, VIỆT NAM",01-1269/2019/TCDL-GP LHQT,27/02/2019,024 3912 0000/0904988377,024 6680 8926,www.hanoiopentour.vn,info@hanoiopentour.vn
652,CÔNG TY CỔ PHẦN VẬN TẢI VÀ DU LỊCH CENT,CENT TRANSPORT AND TOURISM JOINT STOCK COMPANY,International Travel,"Nhà H5 – Dự án nhà bán Xuân La, Ngõ 28 đường Xuân La, Phường Tây Hồ, Thành phố Hà Nội, Việt Nam",01-1270/2021/CDLQGVN-GP LHQT,22/09/2025,834808080,,,Info@centours.vn
653,CÔNG TY CỔ PHẦN ĐẦU TƯ DU LỊCH VIETGROUP,VIETGROUP TOURISM INVESTMENT JOINT STOCK COMPANY,International Travel,"SỐ 15, NGÕ 27, PHỐ HOÀNG NHƯ TIẾP, TỔ 19",01-968/2017/TCDL-GP LHQT,02/07/2024,981048179,,vietgrouptour.com.vn,vgtour256@gmail.com
654,CÔNG TY TNHH DU LỊCH VÀ TỔ CHỨC SỰ KIỆN SOL,SOL TRAVEL AND EVENT COMPANY LIMITED,International Travel,"SỐ 16, NGÁCH 3, NGÕ 643 ĐƯỜNG PHẠM VĂN ĐỒNG, P. CỔ NHUẾ 1, Q. BẮC TỪ LIÊM, TP. HÀ NỘI, VIỆT NAM",01-1274/2019/TCDL-GP LHQT,06/03/2019,0243 747 2928,024 3722 7640,soltravel.vn,info@soltravel.vn
655,CÔNG TY CỔ PHẦN DU LỊCH VINSMILE QUỐC TẾ,INTERNATIONAL VINSMILE TOUR JOINT STOCK COMPANY,International Travel,"SỐ 18B, NGÕ 6 VẠN PHÚC, PHƯỜNG KIM MÃ, QUẬN BA ĐÌNH, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1276/2019/TCDL-GP LHQT,12/03/2019,946388082,,vinsmiletour.com,vietngatourist@gmail.com
657,CÔNG TY CỔ PHẦN CHỢ TOUR VIỆT NAM,TOURMART VIET NAM JOINT STOCK COMPANY,International Travel,"SỐ 49 A, PHỐ HÀNG BÚN, PHƯỜNG NGUYỄN TRUNG TRỰC, QUẬN BA ĐÌNH, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1280/2019/TCDL-GP LHQT,11/03/2019,915843635,,,chotour.vietnam@gmail.com
658,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ PHÁT TRIỂN DU LỊCH NỤ CƯỜI MỚI,NEW SMILE TOURISM DEVELOPMENT AND TRADING JOINT STOCK COMPANY,International Travel,"SỐ 32A TẬP THỂ CÔNG AN, P. MỘ LAO, Q. HÀ ĐÔNG, TP. HÀ NỘI, VIỆT NAM",01-1271/2019/TCDL-GP LHQT,11/03/2019,024 8585 5338,034 628 4150,www.newsmiletour.com,booking@newsmiletour.com
659,CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ĐÀO TẠO PHÁT TRIỂN NGUỒN NHÂN LỰC ISDTH,ISTDH RESEARCH AND HUMAN RESOURCES TRAINING DEVELOPMENT JOINT STOCK COMPANY,International Travel,"TẦNG 2, SỐ 5, NGÕ 139, ĐƯỜNG PHÚ DIỄN, PHƯỜNG PHÚ DIỄN, QUẬN BẮC TỪ LIÊM, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1282/2019/TCDL-GP LHQT,12/03/2019,0242 2434666,0242 2434666,viendulich.istdh.com,info@istdh.edu.vn
660,CÔNG TY TNHH DỊCH VỤ VÀ DU LỊCH TÂM LONG,TAM LONG SERVICES AND TOURISM COMPANY LIMITED,International Travel,"SỐ 128 LÊ ĐỨC THỌ KÉO DÀI, PHƯỜNG MAI DỊCH, QUẬN CẦU GIẤY, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-1284/2019/TCDL-GP LHQT,18/03/2019,096 863 0313,,www.dulichtamlong.com,dulichtamlong@gmail.com
661,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRUYỀN THÔNG LỮ HÀNH EZTRAVEL,EZTRAVEL COMMERCIAL COMMUNICATIONS TRAVEL JOINT STOCK COMPANY,International Travel,"SỐ 153 PHỐ TRIỀU KHÚC, THÔN TRIỀU KHÚC",01-964/2022/TCDL-GP LHQT,20/10/2017,968528698,,,ctyeztravel@gmail.com
662,CÔNG TY CỔ PHẦN CHARTER DU LỊCH VIỆT NAM,VIETNAM TOURISM CHARTER JOINT STOCK COMPANY,International Travel,SỐ 30A LÝ THƯỜNG KIỆT,01-872/2019/TCDL-GP LHQT,10/05/2024,0243 826 4133,,,phuong.kt@vnt-charter.com
663,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN THƯƠNG HIỆU ADAM VIỆT,ADAM VIET INVESTMENT AND DEVELOPMENT JOINT STOCK COMPANY,International Travel,"SỐ 164 MAI ANH TUẤN, P. Ô CHỢ DỪA, Q. ĐỐNG ĐA, TP. HÀ NỘI, VIỆT NAM",01-1292/2019/TCDL-GP LHQT,28/03/2019,0888 389 996,,www.ADamviettravel.vn,adamvietservices@gmail.com
665,CÔNG TY CỔ PHẦN TẬP ĐOÀN JBC VIỆT NAM,JBC VIET NAM GROUP JOINT STOCK COMPANY,International Travel,"SỐ 105 QUỐC LỘ 3, TỔ 3, TT. ĐÔNG ANH, H. ĐÔNG ANH, TP. HÀ NỘI, VIỆT NAM",01-1295/2019/TCDL-GP LHQT,28/03/2019,0902 299 992,,,jbcgroupvn@gmail.com
666,Công ty TNHH Dịch vụ Huyền Gia,Huyen Gia Services Company Limited,International Travel,"6/16 Nguyễn Văn Thủ, Q. 1, Tp. Hồ Chí Minh",79-440/2015/TCDL-GP LHQT,14/09/2015,(028) 6294 4441,(028) 6294 4440,http://www.mappytour.com,info@huyengia.com
667,Công ty TNHH Một Thành viên Dịch vụ Du lịch Quốc tế Sài Gòn HOLIDAYS,SaiGon Holidays International Service Tourist Company Limited,International Travel,"588-590 đường 7 khu phố 9, Q. Bình Tân, Tp. Hồ Chí Minh",79-445/2015/TCDL-GP LHQT,11/09/2015,(028) 3822 9762,(028) 3822 9760,http://www.holidaytravel.com.vn,info@holidaytravel.com
668,CÔNG TY CỔ PHẦN DỊCH VỤ DU LỊCH CHỢ LỚN,CHOLON TOURIST JOINT STOCK COMPANY,International Travel,"787 Trần Hưng Đạo, Phường Chợ Quán, Thành phố Hồ Chí Minh, Việt Nam",79-066/2017/CDLQGVN-GP LHQT,15/09/2025,(028)54078888 - 54079999,,www.cholontourist.vn,info@cholontourist.vn
669,CÔNG TY TNHH DỊCH VỤ VÀ CÔNG NGHỆ HOÀNG VIỆT,HOANG VIET SERVICE AND TECHNOLOGY COMPANY LIMITED,International Travel,135 Đề Thám,79-142/2021/TCDL-GP LHQT,26/07/2010,(028) 3838 9384 - 0918014536,(028) 3837 9213,,hoangvietco1@gmail.com
670,Công ty TNHH T.N.T,,International Travel,"48A2 Trần Đình Xu, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",79-0253/2014/TCDL-GP LHQT,01/08/2023,(028) 3925 6331,,www.tnt-vietnam.com,info@tnt-vietnam.com
